epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39174,2.06224,3.29212,2.00638,0.00519,0.875,0.26895,0.11588,1.67556,3.36669,1.74288,0.00018,0.00018,0.00018
2,15.9794,1.6205,2.91257,1.72074,0.00519,0.875,0.48557,0.27018,1.51637,3.2005,1.44545,0.000376238,0.000376238,0.000376238
3,23.3689,1.54434,2.46962,1.69359,0.00556,0.9375,0.49407,0.27839,1.48487,2.96507,1.36503,0.000568516,0.000568516,0.000568516
4,30.767,1.58222,2.35377,1.64325,0.00943,0.75,0.34635,0.17991,1.56953,3.18459,1.47967,0.000756834,0.000756834,0.000756834
5,38.6359,1.61075,2.37294,1.63284,0.00481,0.8125,0.19066,0.0867,1.58301,3.95089,1.78413,0.000941192,0.000941192,0.000941192
6,46.8959,1.6026,2.36798,1.56153,0.0106,0.6875,0.26099,0.14527,1.4636,3.58747,1.84415,0.00112159,0.00112159,0.00112159
7,54.9391,1.54642,2.14071,1.56479,0.0106,0.6875,0.26099,0.14527,1.4636,3.58747,1.84415,0.00129803,0.00129803,0.00129803
8,63.3417,1.64444,2.1146,1.61261,0.65367,0.23781,0.40405,0.25056,1.53564,3.85245,1.8046,0.00147051,0.00147051,0.00147051
9,71.6054,1.59555,2.24477,1.62464,0.63553,0.3283,0.47312,0.23508,1.82587,2.74519,1.59079,0.00163902,0.00163902,0.00163902
10,79.367,1.66429,2.18627,1.70199,0.63553,0.3283,0.47312,0.23508,1.82587,2.74519,1.59079,0.00180358,0.00180358,0.00180358
11,87.0997,1.64804,2.2256,1.60139,0.52631,0.3125,0.36489,0.17734,1.72533,2.94492,1.56799,0.001802,0.001802,0.001802
12,94.8744,1.66167,2.27021,1.61701,0.59688,0.3125,0.32024,0.15373,2.11223,3.0729,1.92243,0.0017822,0.0017822,0.0017822
13,102.782,1.58054,2.00114,1.55311,0.59688,0.3125,0.32024,0.15373,2.11223,3.0729,1.92243,0.0017624,0.0017624,0.0017624
14,110.554,1.55734,1.93588,1.60569,0.91762,0.5,0.55199,0.18151,2.29531,3.38935,2.0919,0.0017426,0.0017426,0.0017426
15,118.312,1.59118,1.95401,1.64207,0.83796,0.5,0.52677,0.20548,2.23289,2.88625,2.03997,0.0017228,0.0017228,0.0017228
16,126.099,1.61246,1.87062,1.57071,0.83796,0.5,0.52677,0.20548,2.23289,2.88625,2.03997,0.001703,0.001703,0.001703
17,133.903,1.50559,1.79859,1.47655,0.80567,0.375,0.43619,0.19167,1.90365,2.51393,1.78768,0.0016832,0.0016832,0.0016832
18,141.636,1.32956,1.76531,1.44348,0.80567,0.375,0.43619,0.19167,1.90365,2.51393,1.78768,0.0016634,0.0016634,0.0016634
19,149.446,1.51456,1.81421,1.59948,0.94039,0.25,0.32346,0.15489,1.57625,2.92417,1.68119,0.0016436,0.0016436,0.0016436
20,157.343,1.40674,1.65795,1.42883,0.95696,0.25,0.33718,0.1687,1.69568,3.21433,1.72248,0.0016238,0.0016238,0.0016238
21,165.144,1.39206,1.99643,1.58588,0.95696,0.25,0.33718,0.1687,1.69568,3.21433,1.72248,0.001604,0.001604,0.001604
22,172.969,1.48693,1.85837,1.58853,0.47798,0.4375,0.40286,0.17958,1.69416,2.44304,1.69946,0.0015842,0.0015842,0.0015842
23,180.814,1.34945,1.77863,1.49225,0.97289,0.5,0.61411,0.33251,1.38271,1.99581,1.49798,0.0015644,0.0015644,0.0015644
24,188.648,1.363,1.7559,1.51819,0.97289,0.5,0.61411,0.33251,1.38271,1.99581,1.49798,0.0015446,0.0015446,0.0015446
25,196.586,1.39511,1.80405,1.57514,0.59466,0.5625,0.54445,0.31876,1.26665,2.18828,1.41851,0.0015248,0.0015248,0.0015248
26,204.324,1.32269,1.63013,1.41938,0.59466,0.5625,0.54445,0.31876,1.26665,2.18828,1.41851,0.001505,0.001505,0.001505
27,212.197,1.27644,1.54547,1.41398,0.69207,0.5,0.50325,0.26573,1.6254,3.12711,1.62379,0.0014852,0.0014852,0.0014852
28,220.237,1.51849,1.71736,1.6055,0.72717,0.5625,0.5424,0.28628,1.525,3.36803,1.4898,0.0014654,0.0014654,0.0014654
29,228.08,1.34794,1.67051,1.39355,0.72717,0.5625,0.5424,0.28628,1.525,3.36803,1.4898,0.0014456,0.0014456,0.0014456
30,235.894,1.32958,1.62662,1.51748,0.78442,0.5625,0.60016,0.3355,1.19988,1.84821,1.29915,0.0014258,0.0014258,0.0014258
31,243.74,1.24388,1.53668,1.37007,0.75342,0.5,0.59665,0.36125,1.26561,1.85497,1.30865,0.001406,0.001406,0.001406
32,251.677,1.3164,1.66325,1.47696,0.75342,0.5,0.59665,0.36125,1.26561,1.85497,1.30865,0.0013862,0.0013862,0.0013862
33,259.755,1.18057,1.58838,1.31841,0.80927,0.53188,0.60159,0.38774,1.34131,1.68859,1.31908,0.0013664,0.0013664,0.0013664
34,268.097,1.29902,1.42645,1.35798,0.80927,0.53188,0.60159,0.38774,1.34131,1.68859,1.31908,0.0013466,0.0013466,0.0013466
35,276.465,1.33543,1.52204,1.42781,0.98517,0.5,0.59503,0.35304,1.4968,1.68841,1.5077,0.0013268,0.0013268,0.0013268
36,284.884,1.23123,1.58496,1.4135,0.98051,0.5,0.6103,0.31933,1.60017,1.82834,1.55235,0.001307,0.001307,0.001307
37,293.228,1.20883,1.41575,1.36027,0.98051,0.5,0.6103,0.31933,1.60017,1.82834,1.55235,0.0012872,0.0012872,0.0012872
38,301.542,1.22562,1.49351,1.32791,0.88046,0.5,0.59735,0.35481,1.29342,1.94994,1.33552,0.0012674,0.0012674,0.0012674
39,310.039,1.19899,1.41066,1.29134,0.97523,0.5625,0.68093,0.38707,1.37296,1.95212,1.36438,0.0012476,0.0012476,0.0012476
40,318.296,1.22732,1.51686,1.35509,0.97523,0.5625,0.68093,0.38707,1.37296,1.95212,1.36438,0.0012278,0.0012278,0.0012278
41,326.415,1.35853,1.60667,1.3808,0.80859,0.6875,0.74178,0.37389,1.30643,1.77392,1.35711,0.001208,0.001208,0.001208
42,334.264,1.11592,1.24761,1.24808,0.80859,0.6875,0.74178,0.37389,1.30643,1.77392,1.35711,0.0011882,0.0011882,0.0011882
43,342.159,1.14334,1.26726,1.2597,0.87389,0.5625,0.7144,0.36747,1.28068,1.71051,1.34833,0.0011684,0.0011684,0.0011684
44,350.032,1.21252,1.34822,1.34984,0.90745,0.6137,0.68051,0.39822,1.46025,1.91523,1.41867,0.0011486,0.0011486,0.0011486
45,357.832,1.12815,1.52086,1.28277,0.90745,0.6137,0.68051,0.39822,1.46025,1.91523,1.41867,0.0011288,0.0011288,0.0011288
46,365.569,1.26598,1.53541,1.41129,1,0.54849,0.71495,0.42016,1.23965,1.69451,1.32083,0.001109,0.001109,0.001109
47,373.395,1.20812,1.26756,1.28471,0.88851,0.5625,0.65317,0.39724,1.28031,1.70479,1.31574,0.0010892,0.0010892,0.0010892
48,381.229,1.13619,1.31666,1.30296,0.88851,0.5625,0.65317,0.39724,1.28031,1.70479,1.31574,0.0010694,0.0010694,0.0010694
49,389.188,1.07649,1.25835,1.28725,0.99397,0.5625,0.7154,0.38272,1.31602,1.49911,1.36676,0.0010496,0.0010496,0.0010496
50,397.187,1.1364,1.18934,1.24961,0.99397,0.5625,0.7154,0.38272,1.31602,1.49911,1.36676,0.0010298,0.0010298,0.0010298
51,405.154,1.16207,1.25888,1.32498,1,0.56136,0.71611,0.41505,1.3005,1.43521,1.30689,0.00101,0.00101,0.00101
52,412.914,1.05842,1.15762,1.23113,1,0.55332,0.72643,0.46107,1.29697,1.38326,1.25891,0.0009902,0.0009902,0.0009902
53,420.706,1.15924,1.19439,1.2917,1,0.55332,0.72643,0.46107,1.29697,1.38326,1.25891,0.0009704,0.0009704,0.0009704
